,name,institution,course_id
474,Leading transformations: Manage change,Macquarie University,change-management
475,Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),systems-engineering
476,Digital Marketing Analytics in Theory,University of Illinois at Urbana-Champaign,marketing-analytics
477,Data Visualization and Communication with Tableau,Duke University,analytics-tableau
478,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",mcmc-bayesian-statistics
479,Human Rights for Open Societies,Utrecht University,humanrights
480,Introduction to Computers and Office Productivity Software,The Hong Kong University of Science and Technology,introduction-to-computers-and-office-productivity-software
481,The Introduction to Quantum Computing,Saint Petersburg State University,quantum-computing-algorithms
482,Intercultural Management,ESCP Business School,intercultural
483,Get Interactive: Practical Teaching with Technology,University of London,getinmooc
484,International Law In Action: Investigating and Prosecuting International Crimes,Universiteit Leiden,international-law-in-action-2
485,Global Financial Markets and Instruments,Rice University,global-financial-markets-instruments
486,Write Your First Novel,Michigan State University,write-your-first-novel
487,Développement psychologique de l'enfant,University of Geneva,enfant-developpement
488,Songwriting: Writing the Lyrics,Berklee College of Music,songwriting-lyrics
489,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,python-plotting
490,Systems Thinking In Public Health,Johns Hopkins University,systems-thinking
491,Excel Skills for Business: Advanced,Macquarie University,excel-advanced
492,Introduction to Neuroeconomics: How the Brain Makes Decisions,National Research University Higher School of Economics,neuroeconomics
493,Community Organizing for Social Justice,University of Michigan,community-organizing
494,Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem,nand2tetris2
495,The Global Financial Crisis,Yale University,global-financial-crisis
496,Agile и Scrum в работе над проектами и продуктами,E-Learning Development Fund,upravleniya-proektami-agile-scrum
497,Renewable Energy and Green Building Entrepreneurship,Duke University,renewable-energy-entrepreneurship
498,The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",the-cycle
499,Privacy Law and Data Protection,University of Pennsylvania,privacy-law-data-protection
500,Building Modern Python Applications on AWS,Amazon Web Services,building-modern-python-applications-on-aws
501,Digital Business Models,Lund University,digital-business-models
502,"Everyday Excel, Part 2",University of Colorado Boulder,everyday-excel-part-2
503,Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,cloud-infrastructure-design-process
504,Introduction to Computer Programming,University of London,introduction-to-computer-programming
505,"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex,big-data-essentials
506,Dermatology: Trip to skin,Novosibirsk State University ,dermatology
507,Sustainable Tourism – promoting environmental public health,University of Copenhagen,sustainable-tourism
508,Population Health During A Pandemic: Contact Tracing and Beyond,University of Houston,contact-tracing-for-covid-19
509,Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,social-impact
510,C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",c-for-everyone
511,Introduction to Structured Query Language (SQL),University of Michigan,intro-sql
512,Social and Economic Networks:  Models and Analysis,Stanford University,social-economic-networks
513,The Truth About Cats and Dogs,The University of Edinburgh,cats-and-dogs
514,Sports and Society,Duke University,sports-society
515,Fundamentals of Scalable Data Science,IBM,ds
516,Effective Compliance Programs,University of Pennsylvania,effective-compliance-programs
517,Transformation of the Global Food System,University of Copenhagen,transformation-global-food-system
518,Web Application Technologies and Django,University of Michigan,django-database-web-apps
519,Curanderismo: Traditional Healing Using Plants,University of New Mexico,curanderismo-plants
520,Applied Machine Learning in Python,University of Michigan,python-machine-learning
521,Troubleshooting and Debugging Techniques,Google,troubleshooting-debugging-techniques
522,Introduction to C# Programming and Unity,University of Colorado System,introduction-programming-unity
523,"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,correccion-estilo-variaciones
524,Les Fondamentaux de la Négociation,ESSEC Business School,fondamentaux-negociation
525,Introduction to Clinical Data,Stanford University,introduction-clinical-data
